Date;High price;Low price;Closing price
2017-07-18;1639.35;1605.37;1607.36
2017-07-19;1618.57;1592.51;1609.96
2017-07-20;1612.52;1593.15;1597.84
2017-07-21;1597.45;1574.7;1581.37
2017-07-24;1583.61;1566.88;1566.88
2017-07-25;1575.32;1567.36;1568.91
2017-07-26;1581.52;1565.02;1580.22
2017-07-27;1581.11;1570.24;1570.48
2017-07-28;1570.79;1550.65;1557.56
2017-07-31;1561.96;1548.06;1548.19
2017-08-01;1569.56;1548.19;1566.31
2017-08-02;1573.45;1558.95;1563.2
2017-08-03;1567.05;1554.45;1559.66
2017-08-04;1577.61;1556.68;1573.47
2017-08-07;1578.88;1569.43;1575.47
2017-08-08;1583.14;1571.36;1581.32
2017-08-09;1581.32;1562.77;1571.2
2017-08-10;1571.12;1554.75;1554.75
2017-08-11;1554.75;1535.65;1538.96
2017-08-14;1556.35;1538.96;1554.58
2017-08-15;1560.5;1542.49;1543.37
2017-08-16;1556.55;1543.37;1552.16
2017-08-17;1552.5;1538.72;1540.09
2017-08-18;1540.09;1524.36;1532.12
2017-08-21;1532.12;1519.22;1524.25
2017-08-22;1543.99;1524.25;1543.76
2017-08-23;1546.82;1538.73;1542.14
2017-08-24;1546.86;1537.99;1537.99
2017-08-25;1551.62;1537.97;1540.82
2017-08-28;1543.8;1532.43;1536.88
2017-08-29;1536.88;1517.77;1520.9
2017-08-30;1537.88;1520.9;1535.96
2017-08-31;1550.55;1535.96;1546.86
2017-09-01;1560.87;1546.86;1558.79
2017-09-04;1558.79;1546.31;1551.89
2017-09-05;1555.85;1545.1;1546.99
2017-09-06;1546.99;1536.45;1541.27
2017-09-07;1553.87;1537.74;1553.02
2017-09-08;1553.23;1545.28;1552.32
2017-09-11;1573.34;1552.78;1572.16
2017-09-12;1581.13;1572.13;1580.13
2017-09-13;1580.9;1575.76;1580.04
2017-09-14;1587.98;1578.57;1587.52
2017-09-15;1591.32;1577.29;1578.87
2017-09-18;1586.82;1578.31;1582.78
2017-09-19;1586.22;1580.76;1584.43
2017-09-20;1588.48;1581.9;1585.38
2017-09-21;1597.56;1585.38;1596.31
2017-09-22;1600.77;1591.7;1600.77
2017-09-25;1608.49;1598.84;1604.1
2017-09-26;1614.12;1601.86;1610.76
2017-09-27;1627.69;1610.76;1623.77
2017-09-28;1627.31;1618.85;1624.98
2017-09-29;1637.82;1620.97;1637.82
2017-10-02;1641.65;1634.69;1640.65
2017-10-03;1650.46;1640.65;1649.18
2017-10-04;1651.73;1645.57;1651.09
2017-10-05;1655.97;1646.33;1653.15
2017-10-06;1655.17;1643.2;1646.28
2017-10-09;1653.76;1646.28;1647.92
2017-10-10;1651.13;1642.21;1644.34
2017-10-11;1647.22;1638.22;1641.7
2017-10-12;1649.42;1637.8;1644.65
2017-10-13;1644.84;1638.62;1642.49
2017-10-16;1644.19;1637.37;1638.33
2017-10-17;1641.3;1636.09;1636.94
2017-10-18;1648.7;1634.21;1644.73
2017-10-19;1647.32;1635.46;1646.96
2017-10-20;1671.41;1646.68;1667.5
2017-10-23;1669.42;1660.8;1661.54
2017-10-24;1661.54;1644.73;1650.47
2017-10-25;1657.42;1642.19;1649.74
2017-10-26;1659.65;1641.28;1658.79
2017-10-27;1666.07;1658.79;1665.02
2017-10-30;1667.26;1659.46;1662.32
2017-10-31;1675.61;1662.32;1671.63
2017-11-01;1681.13;1671.32;1672.03
2017-11-02;1674.77;1665.42;1672.78
2017-11-03;1678.45;1672.78;1677.65
2017-11-06;1681.75;1671.6;1676.14
2017-11-07;1681.67;1669.98;1670.24
2017-11-08;1672.76;1657.13;1662.99
2017-11-09;1662.99;1641.19;1643.26
2017-11-10;1646.15;1634.22;1634.68
