Date;High price;Low price;Closing price
1987-01-12;117.01;117.01;117.01
1987-01-13;114.05;114.05;114.05
1987-01-14;110.24;110.24;110.24
1987-01-15;114.98;114.98;114.98
1987-01-16;113.35;113.35;113.35
1987-01-19;114.98;114.98;114.98
1987-01-20;116.67;116.67;116.67
1987-01-21;116.39;116.39;116.39
1987-01-22;113.1;113.1;113.1
1987-01-23;113.65;113.65;113.65
1987-01-26;112.29;112.29;112.29
1987-01-27;109.92;109.92;109.92
1987-01-28;107.52;107.52;107.52
1987-01-29;109.15;109.15;109.15
1987-01-30;111.13;111.13;111.13
1987-02-02;113.78;113.78;113.78
1987-02-03;116.96;116.96;116.96
1987-02-04;116.04;116.04;116.04
1987-02-05;117.36;117.36;117.36
1987-02-06;116.97;116.97;116.97
1987-02-09;116.02;116.02;116.02
1987-02-10;116.14;116.14;116.14
1987-02-11;117.03;117.03;117.03
1987-02-12;118.15;118.15;118.15
1987-02-13;117.58;117.58;117.58
1987-02-16;117.6;117.6;117.6
1987-02-17;118.78;118.78;118.78
1987-02-18;119.53;119.53;119.53
1987-02-19;121.13;121.13;121.13
1987-02-20;122.51;122.51;122.51
1987-02-23;123.95;123.95;123.95
1987-02-24;122.98;122.98;122.98
1987-02-25;123.8;123.8;123.8
1987-02-26;125.79;125.79;125.79
1987-02-27;127.14;127.14;127.14
1987-03-02;128;128;128
1987-03-03;127.77;127.77;127.77
1987-03-04;128.65;128.65;128.65
1987-03-05;129.56;129.56;129.56
1987-03-06;129.25;129.25;129.25
1987-03-09;129.81;129.81;129.81
1987-03-10;130.93;130.93;130.93
1987-03-11;129.94;129.94;129.94
1987-03-12;128.45;128.45;128.45
1987-03-13;129.46;129.46;129.46
1987-03-16;129.76;129.76;129.76
1987-03-17;129.79;129.79;129.79
1987-03-18;131.54;131.54;131.54
1987-03-19;131.46;131.46;131.46
1987-03-20;130.82;130.82;130.82
1987-03-23;130.84;130.84;130.84
1987-03-24;133.2;133.2;133.2
1987-03-25;134.18;134.18;134.18
1987-03-26;133.56;133.56;133.56
1987-03-27;134.41;134.41;134.41
1987-03-30;132.79;132.79;132.79
1987-03-31;131.25;131.25;131.25
1987-04-01;130.29;130.29;130.29
1987-04-02;129.94;129.94;129.94
1987-04-03;131.59;131.59;131.59
1987-04-06;134.48;134.48;134.48
1987-04-07;135.18;135.18;135.18
1987-04-08;135.16;135.16;135.16
1987-04-09;135.92;135.92;135.92
1987-04-10;134.05;134.05;134.05
1987-04-13;133.24;133.24;133.24
1987-04-14;132.69;132.69;132.69
1987-04-15;135.53;135.53;135.53
1987-04-16;137.48;137.48;137.48
1987-04-21;136.99;136.99;136.99
1987-04-22;137.9;137.9;137.9
1987-04-23;139.52;139.52;139.52
1987-04-24;140.97;140.97;140.97
1987-04-27;139.03;139.03;139.03
1987-04-28;138.86;138.86;138.86
1987-04-29;139.27;139.27;139.27
1987-04-30;139.67;139.67;139.67
1987-05-04;139.01;139.01;139.01
1987-05-05;139.89;139.89;139.89
1987-05-06;141.39;141.39;141.39
1987-05-07;140.43;140.43;140.43
1987-05-08;140.04;140.04;140.04
1987-05-11;138.44;138.44;138.44
1987-05-12;135.67;135.67;135.67
1987-05-13;134.2;134.2;134.2
1987-05-14;133.9;133.9;133.9
1987-05-15;132.99;132.99;132.99
1987-05-18;128.42;128.42;128.42
1987-05-19;129.89;129.89;129.89
1987-05-20;127.07;127.07;127.07
1987-05-21;130.1;130.1;130.1
1987-05-22;131.47;131.47;131.47
1987-05-25;132.31;132.31;132.31
1987-05-26;132.26;132.26;132.26
1987-05-27;132.7;132.7;132.7
1987-05-29;132.04;132.04;132.04
1987-06-01;131.78;131.78;131.78
1987-06-02;131.63;131.63;131.63
1987-06-03;130.85;130.85;130.85
1987-06-04;132.45;132.45;132.45
1987-06-05;132.53;132.53;132.53
1987-06-09;133.63;133.63;133.63
1987-06-10;134.13;134.13;134.13
1987-06-11;133.8;133.8;133.8
1987-06-12;134.62;134.62;134.62
1987-06-15;135.52;135.52;135.52
1987-06-16;135.73;135.73;135.73
1987-06-17;136.66;136.66;136.66
1987-06-18;136.43;136.43;136.43
1987-06-22;135.34;135.34;135.34
1987-06-23;136.51;136.51;136.51
1987-06-24;136.15;136.15;136.15
1987-06-25;135.33;135.33;135.33
1987-06-26;135.61;135.61;135.61
1987-06-29;135.21;135.21;135.21
1987-06-30;134.73;134.73;134.73
1987-07-01;134.08;134.08;134.08
1987-07-02;135.34;135.34;135.34
1987-07-03;137.55;137.55;137.55
1987-07-06;137.87;137.87;137.87
1987-07-07;137.71;137.71;137.71
1987-07-08;139.22;139.22;139.22
1987-07-09;139.95;139.95;139.95
1987-07-10;140.04;140.04;140.04
1987-07-13;140.79;140.79;140.79
1987-07-14;141.2;141.2;141.2
1987-07-15;142.26;142.26;142.26
1987-07-16;142.07;142.07;142.07
1987-07-17;142.75;142.75;142.75
1987-07-20;142.61;142.61;142.61
1987-07-21;141.7;141.7;141.7
1987-07-22;140.18;140.18;140.18
1987-07-23;141.28;141.28;141.28
1987-07-24;141.6;141.6;141.6
1987-07-27;141.89;141.89;141.89
1987-07-28;143.86;143.86;143.86
1987-07-29;145.28;145.28;145.28
1987-07-30;145.22;145.22;145.22
1987-07-31;145.13;145.13;145.13
1987-08-03;143.82;143.82;143.82
1987-08-04;144.43;144.43;144.43
1987-08-05;146.88;146.88;146.88
1987-08-06;147.21;147.21;147.21
1987-08-07;146.76;146.76;146.76
1987-08-10;145.21;145.21;145.21
1987-08-11;148.44;148.44;148.44
1987-08-12;149.48;149.48;149.48
1987-08-13;150.67;150.67;150.67
1987-08-14;151.51;151.51;151.51
1987-08-17;150.56;150.56;150.56
1987-08-18;150.89;150.89;150.89
1987-08-19;151.25;151.25;151.25
1987-08-20;152.69;152.69;152.69
1987-08-21;153.77;153.77;153.77
1987-08-24;154.96;154.96;154.96
1987-08-25;152.11;152.11;152.11
1987-08-26;151.41;151.41;151.41
1987-08-27;150.42;150.42;150.42
1987-08-28;150.44;150.44;150.44
1987-08-31;148.57;148.57;148.57
1987-09-01;149.75;149.75;149.75
1987-09-02;149.94;149.94;149.94
1987-09-03;152.96;152.96;152.96
1987-09-04;154.15;154.15;154.15
1987-09-07;154.39;154.39;154.39
1987-09-08;155.7;155.7;155.7
1987-09-09;154.94;154.94;154.94
1987-09-10;156.84;156.84;156.84
1987-09-11;157.25;157.25;157.25
1987-09-14;157.93;157.93;157.93
1987-09-15;157.24;157.24;157.24
1987-09-16;156.93;156.93;156.93
1987-09-17;155.24;155.24;155.24
1987-09-18;154.59;154.59;154.59
1987-09-21;156.48;156.48;156.48
1987-09-22;156.51;156.51;156.51
1987-09-23;156.63;156.63;156.63
1987-09-24;155.87;155.87;155.87
1987-09-25;154.88;154.88;154.88
1987-09-28;152.88;152.88;152.88
1987-09-29;155.3;155.3;155.3
1987-09-30;157.24;157.24;157.24
1987-10-01;159.97;159.97;159.97
1987-10-02;160.41;160.41;160.41
1987-10-05;162.07;162.07;162.07
1987-10-06;162.17;162.17;162.17
1987-10-07;162.14;162.14;162.14
1987-10-08;162.91;162.91;162.91
1987-10-09;162.29;162.29;162.29
1987-10-12;160.02;160.02;160.02
1987-10-13;159.58;159.58;159.58
1987-10-14;161.16;161.16;161.16
1987-10-15;158.63;158.63;158.63
1987-10-16;156.22;156.22;156.22
1987-10-19;146.21;146.21;146.21
1987-10-20;138.07;138.07;138.07
1987-10-21;143.91;143.91;143.91
1987-10-22;137.84;137.84;137.84
1987-10-23;138.39;138.39;138.39
1987-10-26;128.78;128.78;128.78
1987-10-27;129.93;129.93;129.93
1987-10-28;123.52;123.52;123.52
1987-10-29;113.65;113.65;113.65
1987-10-30;122.57;122.57;122.57
1987-11-02;121.98;121.98;121.98
1987-11-03;119.39;119.39;119.39
1987-11-04;112.18;112.18;112.18
1987-11-05;110.26;110.26;110.26
1987-11-06;112.45;112.45;112.45
1987-11-09;106.19;106.19;106.19
1987-11-10;100.62;100.62;100.62
1987-11-11;98.86;98.86;98.86
1987-11-12;104.94;104.94;104.94
1987-11-13;111.65;111.65;111.65
1987-11-16;115.13;115.13;115.13
1987-11-17;112.45;112.45;112.45
1987-11-18;112.39;112.39;112.39
1987-11-19;107.88;107.88;107.88
1987-11-20;107.57;107.57;107.57
1987-11-23;111.58;111.58;111.58
1987-11-24;111.42;111.42;111.42
1987-11-25;112.71;112.71;112.71
1987-11-26;110.13;110.13;110.13
1987-11-27;109.15;109.15;109.15
1987-11-30;102.3;102.3;102.3
1987-12-01;102.23;102.23;102.23
1987-12-02;100.55;100.55;100.55
1987-12-03;102.45;102.45;102.45
1987-12-04;101;101;101
1987-12-07;103.25;103.25;103.25
1987-12-08;104.87;104.87;104.87
1987-12-09;103.57;103.57;103.57
1987-12-10;104.88;104.88;104.88
1987-12-11;101.93;101.93;101.93
1987-12-14;101.31;101.31;101.31
1987-12-15;102.78;102.78;102.78
1987-12-16;103.33;103.33;103.33
1987-12-17;106.98;106.98;106.98
1987-12-18;106.97;106.97;106.97
1987-12-21;108.55;108.55;108.55
1987-12-22;108.47;108.47;108.47
1987-12-23;108.61;108.61;108.61
1987-12-28;106.18;106.18;106.18
1987-12-29;104.45;104.45;104.45
1987-12-30;105.15;105.15;105.15
1988-01-04;103.98;103.98;103.98
1988-01-05;108.75;108.75;108.75
1988-01-07;112.19;112.19;112.19
1988-01-08;110;110;110
1988-01-11;107.39;107.39;107.39
1988-01-12;108.07;108.07;108.07
1988-01-13;107.02;107.02;107.02
1988-01-14;107.04;107.04;107.04
1988-01-15;108.68;108.68;108.68
1988-01-18;109.96;109.96;109.96
1988-01-19;110.75;110.75;110.75
1988-01-20;110.9;110.9;110.9
1988-01-21;112.26;112.26;112.26
1988-01-22;115.35;115.35;115.35
1988-01-25;117.09;117.09;117.09
1988-01-26;118.56;118.56;118.56
1988-01-27;116.3;116.3;116.3
1988-01-28;117.59;117.59;117.59
1988-01-29;119.77;119.77;119.77
1988-02-01;119.34;119.34;119.34
1988-02-02;118.06;118.06;118.06
1988-02-03;120.04;120.04;120.04
1988-02-04;120.46;120.46;120.46
1988-02-05;121.78;121.78;121.78
1988-02-08;121.66;121.66;121.66
1988-02-09;119.96;119.96;119.96
1988-02-10;121.07;121.07;121.07
1988-02-11;123.13;123.13;123.13
1988-02-12;123.56;123.56;123.56
1988-02-15;124.87;124.87;124.87
1988-02-16;126.21;126.21;126.21
1988-02-17;124.97;124.97;124.97
1988-02-18;123.86;123.86;123.86
1988-02-19;122.72;122.72;122.72
1988-02-22;123.92;123.92;123.92
1988-02-23;124.19;124.19;124.19
1988-02-24;121.41;121.41;121.41
1988-02-25;121.72;121.72;121.72
1988-02-26;122.04;122.04;122.04
1988-02-29;122.52;122.52;122.52
1988-03-01;124.84;124.84;124.84
1988-03-02;125.24;125.24;125.24
1988-03-03;126.64;126.64;126.64
1988-03-04;127.18;127.18;127.18
1988-03-07;127.83;127.83;127.83
1988-03-08;126.65;126.65;126.65
1988-03-09;128.1;128.1;128.1
1988-03-10;131.35;131.35;131.35
1988-03-11;131.09;131.09;131.09
1988-03-14;129.79;129.79;129.79
1988-03-15;131.7;131.7;131.7
1988-03-16;130.94;130.94;130.94
1988-03-17;130.17;130.17;130.17
1988-03-18;131.27;131.27;131.27
1988-03-21;130.39;130.39;130.39
1988-03-22;129.38;129.38;129.38
1988-03-23;130.5;130.5;130.5
1988-03-24;130.77;130.77;130.77
1988-03-25;127.36;127.36;127.36
1988-03-28;124.33;124.33;124.33
1988-03-29;125.73;125.73;125.73
1988-03-30;127.02;127.02;127.02
1988-03-31;126.48;126.48;126.48
1988-04-05;126.59;126.59;126.59
1988-04-06;128.12;128.12;128.12
1988-04-07;130.53;130.53;130.53
1988-04-08;131.39;131.39;131.39
1988-04-11;133.28;133.28;133.28
1988-04-12;133.78;133.78;133.78
1988-04-13;134.27;134.27;134.27
1988-04-14;134.17;134.17;134.17
1988-04-15;129.73;129.73;129.73
1988-04-18;127.82;127.82;127.82
1988-04-19;126.83;126.83;126.83
1988-04-20;127.5;127.5;127.5
1988-04-21;127.77;127.77;127.77
1988-04-22;127.69;127.69;127.69
1988-04-25;129.17;129.17;129.17
1988-04-26;130.46;130.46;130.46
1988-04-27;132.05;132.05;132.05
1988-04-28;130.15;130.15;130.15
1988-04-29;130.61;130.61;130.61
1988-05-02;131.18;131.18;131.18
1988-05-03;132.24;132.24;132.24
1988-05-04;131.46;131.46;131.46
1988-05-05;129.21;129.21;129.21
1988-05-06;129.48;129.48;129.48
1988-05-09;129.71;129.71;129.71
1988-05-10;129.84;129.84;129.84
1988-05-11;128.78;128.78;128.78
1988-05-13;128.66;128.66;128.66
1988-05-16;129.95;129.95;129.95
1988-05-17;130.94;130.94;130.94
1988-05-18;132.3;132.3;132.3
1988-05-19;131.43;131.43;131.43
1988-05-20;132.77;132.77;132.77
1988-05-24;132.76;132.76;132.76
1988-05-25;134.78;134.78;134.78
1988-05-26;135.46;135.46;135.46
1988-05-27;135.19;135.19;135.19
1988-05-30;135.4;135.4;135.4
1988-05-31;137.47;137.47;137.47
1988-06-01;138.87;138.87;138.87
1988-06-02;137.48;137.48;137.48
1988-06-03;137.12;137.12;137.12
1988-06-06;137.47;137.47;137.47
1988-06-07;137.11;137.11;137.11
1988-06-08;136.95;136.95;136.95
1988-06-09;137.65;137.65;137.65
1988-06-10;137.03;137.03;137.03
1988-06-13;136.16;136.16;136.16
1988-06-14;136.55;136.55;136.55
1988-06-15;137.92;137.92;137.92
1988-06-16;138.16;138.16;138.16
1988-06-17;137.33;137.33;137.33
1988-06-20;136.4;136.4;136.4
1988-06-21;135.12;135.12;135.12
1988-06-22;136.2;136.2;136.2
1988-06-23;137.07;137.07;137.07
1988-06-27;135.73;135.73;135.73
1988-06-28;133.84;133.84;133.84
1988-06-29;134.68;134.68;134.68
1988-06-30;134.09;134.09;134.09
1988-07-01;135.65;135.65;135.65
1988-07-04;135.73;135.73;135.73
1988-07-05;135.52;135.52;135.52
1988-07-06;136.96;136.96;136.96
1988-07-07;137.65;137.65;137.65
1988-07-08;138.01;138.01;138.01
1988-07-11;137.13;137.13;137.13
1988-07-12;137.3;137.3;137.3
1988-07-13;136.74;136.74;136.74
1988-07-14;136.61;136.61;136.61
1988-07-15;136.69;136.69;136.69
1988-07-18;137;137;137
1988-07-19;136.63;136.63;136.63
1988-07-20;137.74;137.74;137.74
1988-07-21;138.7;138.7;138.7
1988-07-22;138.44;138.44;138.44
1988-07-25;138.01;138.01;138.01
1988-07-26;138.33;138.33;138.33
1988-07-27;138.86;138.86;138.86
1988-07-28;139.03;139.03;139.03
1988-07-29;139.92;139.92;139.92
1988-08-01;141.89;141.89;141.89
1988-08-02;141.47;141.47;141.47
1988-08-03;141.52;141.52;141.52
1988-08-04;141.87;141.87;141.87
1988-08-05;141.76;141.76;141.76
1988-08-08;139.98;139.98;139.98
1988-08-09;138.24;138.24;138.24
1988-08-10;135.02;135.02;135.02
1988-08-11;133.76;133.76;133.76
1988-08-12;135.18;135.18;135.18
1988-08-15;133.68;133.68;133.68
1988-08-16;133.56;133.56;133.56
1988-08-17;133.94;133.94;133.94
1988-08-18;134.98;134.98;134.98
1988-08-19;135.15;135.15;135.15
1988-08-22;134.77;134.77;134.77
1988-08-23;132.86;132.86;132.86
1988-08-24;133.46;133.46;133.46
1988-08-25;131.85;131.85;131.85
1988-08-26;131.35;131.35;131.35
1988-08-29;130.85;130.85;130.85
1988-08-30;132.07;132.07;132.07
1988-08-31;133.25;133.25;133.25
1988-09-01;132.6;132.6;132.6
1988-09-02;132.67;132.67;132.67
1988-09-05;133.48;133.48;133.48
1988-09-06;134.35;134.35;134.35
1988-09-07;134.52;134.52;134.52
1988-09-08;134.76;134.76;134.76
1988-09-09;135.44;135.44;135.44
1988-09-12;136.57;136.57;136.57
1988-09-13;137.1;137.1;137.1
1988-09-14;137.06;137.06;137.06
1988-09-15;136.98;136.98;136.98
1988-09-16;136.54;136.54;136.54
1988-09-19;138.58;138.58;138.58
1988-09-20;139.16;139.16;139.16
1988-09-21;140.32;140.32;140.32
1988-09-22;142.1;142.1;142.1
1988-09-23;141.91;141.91;141.91
1988-09-26;141.92;141.92;141.92
1988-09-27;141.24;141.24;141.24
1988-09-28;140.79;140.79;140.79
1988-09-29;141.32;141.32;141.32
1988-09-30;141.9;141.9;141.9
1988-10-03;142.63;142.63;142.63
1988-10-04;142.89;142.89;142.89
1988-10-05;143.43;143.43;143.43
1988-10-06;144.7;144.7;144.7
1988-10-07;144.85;144.85;144.85
1988-10-10;145.79;145.79;145.79
1988-10-11;145.25;145.25;145.25
1988-10-12;144.98;144.98;144.98
1988-10-13;144.11;144.11;144.11
1988-10-14;145.99;145.99;145.99
1988-10-17;145.13;145.13;145.13
1988-10-18;144.36;144.36;144.36
1988-10-19;144.13;144.13;144.13
1988-10-20;144.98;144.98;144.98
1988-10-21;146.17;146.17;146.17
1988-10-24;146.89;146.89;146.89
1988-10-25;147.12;147.12;147.12
1988-10-26;147.44;147.44;147.44
1988-10-27;147.34;147.34;147.34
1988-10-28;147.29;147.29;147.29
1988-10-31;148.01;148.01;148.01
1988-11-01;148.7;148.7;148.7
1988-11-02;149.47;149.47;149.47
1988-11-03;149.29;149.29;149.29
1988-11-04;151.01;151.01;151.01
1988-11-07;149.79;149.79;149.79
1988-11-08;150.29;150.29;150.29
1988-11-09;150.11;150.11;150.11
1988-11-10;148.92;148.92;148.92
1988-11-11;147.4;147.4;147.4
1988-11-14;144.98;144.98;144.98
1988-11-15;144.74;144.74;144.74
1988-11-16;146.18;146.18;146.18
1988-11-17;145.89;145.89;145.89
1988-11-18;146.43;146.43;146.43
1988-11-21;147.1;147.1;147.1
1988-11-22;148.2;148.2;148.2
1988-11-23;149.62;149.62;149.62
1988-11-24;149.03;149.03;149.03
1988-11-25;146.53;146.53;146.53
1988-11-28;145.49;145.49;145.49
1988-11-29;146.81;146.81;146.81
1988-11-30;149.08;149.08;149.08
1988-12-01;150.28;150.28;150.28
1988-12-02;150.04;150.04;150.04
1988-12-05;151.62;151.62;151.62
1988-12-06;154.29;154.29;154.29
1988-12-07;154.13;154.13;154.13
1988-12-08;154.28;154.28;154.28
1988-12-09;155.56;155.56;155.56
1988-12-12;155.02;155.02;155.02
1988-12-13;155.8;155.8;155.8
1988-12-14;156.1;156.1;156.1
1988-12-15;156.09;156.09;156.09
1988-12-16;157.76;157.76;157.76
1988-12-19;157.12;157.12;157.12
1988-12-20;158.33;158.33;158.33
1988-12-21;159.22;159.22;159.22
1988-12-22;158.17;158.17;158.17
1988-12-23;158.29;158.29;158.29
1988-12-27;159.07;159.07;159.07
1988-12-28;160.17;160.17;160.17
1988-12-29;159.9;159.9;159.9
1988-12-30;159.63;159.63;159.63
1989-01-02;152.67;152.67;152.67
1989-01-03;155.89;155.89;155.89
1989-01-04;157.09;157.09;157.09
1989-01-05;160.03;160.03;160.03
1989-01-09;163.22;163.22;163.22
1989-01-10;164.82;164.82;164.82
1989-01-11;164.89;164.89;164.89
1989-01-12;164.99;164.99;164.99
1989-01-13;165.48;165.48;165.48
1989-01-16;164.93;164.93;164.93
1989-01-17;165;165;165
1989-01-18;165.28;165.28;165.28
1989-01-19;167.19;167.19;167.19
1989-01-20;167.63;167.63;167.63
1989-01-23;167.82;167.82;167.82
1989-01-24;168.12;168.12;168.12
1989-01-25;170.11;170.11;170.11
1989-01-26;171.09;171.09;171.09
1989-01-27;170.45;170.45;170.45
1989-01-30;172.02;172.02;172.02
1989-01-31;171.76;171.76;171.76
1989-02-01;172.22;172.22;172.22
1989-02-02;172.6;172.6;172.6
1989-02-03;172.78;172.78;172.78
1989-02-06;170.75;170.75;170.75
1989-02-07;168.96;168.96;168.96
1989-02-08;171.07;171.07;171.07
1989-02-09;171.82;171.82;171.82
1989-02-10;172.56;172.56;172.56
1989-02-13;171.24;171.24;171.24
1989-02-14;171.66;171.66;171.66
1989-02-15;171.1;171.1;171.1
1989-02-16;171.89;171.89;171.89
1989-02-17;172.8;172.8;172.8
1989-02-20;173.41;173.41;173.41
1989-02-21;175.03;175.03;175.03
1989-02-22;178.01;178.01;178.01
1989-02-23;176.85;176.85;176.85
1989-02-24;176.59;176.59;176.59
1989-02-27;174.23;174.23;174.23
1989-02-28;176.02;176.02;176.02
1989-03-01;176.36;176.36;176.36
1989-03-02;176.65;176.65;176.65
1989-03-03;177.3;177.3;177.3
1989-03-06;178.59;178.59;178.59
1989-03-07;180.65;180.65;180.65
1989-03-08;181.59;181.59;181.59
1989-03-09;181.27;181.27;181.27
1989-03-10;181.07;181.07;181.07
1989-03-13;181.25;181.25;181.25
1989-03-14;184.32;184.32;184.32
1989-03-15;183.85;183.85;183.85
1989-03-16;182.85;182.85;182.85
1989-03-17;183.87;183.87;183.87
1989-03-20;181.78;181.78;181.78
1989-03-21;179.49;179.49;179.49
1989-03-22;181.19;181.19;181.19
1989-03-23;181.84;181.84;181.84
1989-03-28;183.04;183.04;183.04
1989-03-29;184.32;184.32;184.32
1989-03-30;184.72;184.72;184.72
1989-03-31;184.31;184.31;184.31
1989-04-03;185.85;185.85;185.85
1989-04-04;186.43;186.43;186.43
1989-04-05;186.62;186.62;186.62
1989-04-06;186.42;186.42;186.42
1989-04-07;185.36;185.36;185.36
1989-04-10;182.58;182.58;182.58
1989-04-11;181.03;181.03;181.03
1989-04-12;181.91;181.91;181.91
1989-04-13;180.91;180.91;180.91
1989-04-14;178.91;178.91;178.91
1989-04-17;179.33;179.33;179.33
1989-04-18;177.54;177.54;177.54
1989-04-19;178.74;178.74;178.74
1989-04-20;179.18;179.18;179.18
1989-04-21;178.63;178.63;178.63
1989-04-24;179.84;179.84;179.84
1989-04-25;181.62;181.62;181.62
1989-04-26;183.97;183.97;183.97
1989-04-27;184.42;184.42;184.42
1989-04-28;184.35;184.35;184.35
1989-05-02;183.81;183.81;183.81
1989-05-03;183.72;183.72;183.72
1989-05-05;183.88;183.88;183.88
1989-05-08;183.72;183.72;183.72
1989-05-09;182.88;182.88;182.88
1989-05-10;182.75;182.75;182.75
1989-05-11;183.07;183.07;183.07
1989-05-12;183.15;183.15;183.15
1989-05-16;184.84;184.84;184.84
1989-05-17;185.68;185.68;185.68
1989-05-18;186.93;186.93;186.93
1989-05-19;188.43;188.43;188.43
1989-05-22;190.5;190.5;190.5
1989-05-23;189.37;189.37;189.37
1989-05-24;188.5;188.5;188.5
1989-05-25;189.94;189.94;189.94
1989-05-26;190.16;190.16;190.16
1989-05-29;190.74;190.74;190.74
1989-05-30;190.74;190.74;190.74
1989-05-31;189.41;189.41;189.41
1989-06-01;189.25;189.25;189.25
1989-06-02;189.88;189.88;189.88
1989-06-05;189.09;189.09;189.09
1989-06-06;188.86;188.86;188.86
1989-06-07;189.68;189.68;189.68
1989-06-08;191.74;191.74;191.74
1989-06-09;192.62;192.62;192.62
1989-06-12;192.63;192.63;192.63
1989-06-13;193.95;193.95;193.95
1989-06-14;196.42;196.42;196.42
1989-06-15;196.25;196.25;196.25
1989-06-16;197.08;197.08;197.08
1989-06-19;196.27;196.27;196.27
1989-06-20;195.6;195.6;195.6
1989-06-21;196.3;196.3;196.3
1989-06-22;195.72;195.72;195.72
1989-06-26;197.41;197.41;197.41
1989-06-27;198.3;198.3;198.3
1989-06-28;199.42;199.42;199.42
1989-06-29;198.31;198.31;198.31
1989-06-30;197.59;197.59;197.59
1989-07-03;196.51;196.51;196.51
1989-07-04;197.61;197.61;197.61
1989-07-05;198.55;198.55;198.55
1989-07-06;200.09;200.09;200.09
1989-07-07;201.01;201.01;201.01
1989-07-10;201.64;201.64;201.64
1989-07-11;203.04;203.04;203.04
1989-07-12;204.82;204.82;204.82
1989-07-13;206.46;206.46;206.46
1989-07-14;206.07;206.07;206.07
1989-07-17;205.74;205.74;205.74
1989-07-18;205.92;205.92;205.92
1989-07-19;207.2;207.2;207.2
1989-07-20;207.99;207.99;207.99
1989-07-21;207.91;207.91;207.91
1989-07-24;208.53;208.53;208.53
1989-07-25;209.05;209.05;209.05
1989-07-26;210.15;210.15;210.15
1989-07-27;210.84;210.84;210.84
1989-07-28;210.99;210.99;210.99
1989-07-31;211.59;211.59;211.59
1989-08-01;212.05;212.05;212.05
1989-08-02;213.06;213.06;213.06
1989-08-03;212.3;212.3;212.3
1989-08-04;212.09;212.09;212.09
1989-08-07;211.08;211.08;211.08
1989-08-08;213.61;213.61;213.61
1989-08-09;214.22;214.22;214.22
1989-08-10;217.14;217.14;217.14
1989-08-11;216.72;216.72;216.72
1989-08-14;216.93;216.93;216.93
1989-08-15;219.06;219.06;219.06
1989-08-16;222.04;222.04;222.04
1989-08-17;218.86;218.86;218.86
1989-08-18;217.8;217.8;217.8
1989-08-21;215.91;215.91;215.91
1989-08-22;212.33;212.33;212.33
1989-08-23;211.88;211.88;211.88
1989-08-24;214.16;214.16;214.16
1989-08-25;217.58;217.58;217.58
1989-08-28;219.2;219.2;219.2
1989-08-29;217.96;217.96;217.96
1989-08-30;217.43;217.43;217.43
1989-08-31;218.49;218.49;218.49
1989-09-01;216.86;216.86;216.86
1989-09-04;213.53;213.53;213.53
1989-09-05;214.46;214.46;214.46
1989-09-06;213.82;213.82;213.82
