id;Date;Open;High;Low;Close
491;1988-09-16;136.98;136.54;136.54;136.54
492;1988-09-19;136.54;138.58;138.58;138.58
493;1988-09-20;138.58;139.16;139.16;139.16
494;1988-09-21;139.16;140.32;140.32;140.32
495;1988-09-22;140.32;142.1;142.1;142.1
496;1988-09-23;142.1;141.91;141.91;141.91
497;1988-09-26;141.91;141.92;141.92;141.92
498;1988-09-27;141.92;141.24;141.24;141.24
499;1988-09-28;141.24;140.79;140.79;140.79
500;1988-09-29;140.79;141.32;141.32;141.32
501;1988-09-30;141.32;141.9;141.9;141.9
502;1988-10-03;141.9;142.63;142.63;142.63
503;1988-10-04;142.63;142.89;142.89;142.89
504;1988-10-05;142.89;143.43;143.43;143.43
505;1988-10-06;143.43;144.7;144.7;144.7
506;1988-10-07;144.7;144.85;144.85;144.85
507;1988-10-10;144.85;145.79;145.79;145.79
508;1988-10-11;145.79;145.25;145.25;145.25
509;1988-10-12;145.25;144.98;144.98;144.98
510;1988-10-13;144.98;144.11;144.11;144.11
511;1988-10-14;144.11;145.99;145.99;145.99
512;1988-10-17;145.99;145.13;145.13;145.13
513;1988-10-18;145.13;144.36;144.36;144.36
514;1988-10-19;144.36;144.13;144.13;144.13
515;1988-10-20;144.13;144.98;144.98;144.98
516;1988-10-21;144.98;146.17;146.17;146.17
517;1988-10-24;146.17;146.89;146.89;146.89
518;1988-10-25;146.89;147.12;147.12;147.12
519;1988-10-26;147.12;147.44;147.44;147.44
520;1988-10-27;147.44;147.34;147.34;147.34
521;1988-10-28;147.34;147.29;147.29;147.29
522;1988-10-31;147.29;148.01;148.01;148.01
523;1988-11-01;148.01;148.7;148.7;148.7
524;1988-11-02;148.7;149.47;149.47;149.47
525;1988-11-03;149.47;149.29;149.29;149.29
526;1988-11-04;149.29;151.01;151.01;151.01
527;1988-11-07;151.01;149.79;149.79;149.79
528;1988-11-08;149.79;150.29;150.29;150.29
529;1988-11-09;150.29;150.11;150.11;150.11
530;1988-11-10;150.11;148.92;148.92;148.92
531;1988-11-11;148.92;147.4;147.4;147.4
