id;NormKurs50;NormKurs200;NumberRise50;NumberRise200;MA50Norm;MA200Norm;MA50NormDiff;MA200NormDiff;RSI_9;RSI_14;RSI9_diff;RSI14_diff;RSI3sign
212;0.8777506112469439;0.9496094734189972;0.56;0.53;-0.044890847737758865;-0.10002926795675247;0.011792172158670372;0.010101898573637427;59.45427469822829;62.047889189322824;-12.275418793913559;-8.312077406264464;0.0
213;1.0;1.0;0.58;0.53;-0.06346402586903785;-0.1189494071678794;-0.01857317813127899;-0.018920139211126938;70.96091591114859;69.9690246367666;11.506641212920284;7.921135447443774;0.0
214;1.0;1.0;0.6;0.535;-0.06761172063152232;-0.12438252609044713;-0.004147694762484486;-0.005433118922567717;73.63748604759286;71.98608697502007;2.676570136444269;2.0170623382534667;0.0
215;1.0;1.0;0.62;0.54;-0.07244839715935464;-0.13052697949160447;-0.004836676527832304;-0.0061444534011573385;76.40270228401262;74.11734282430862;2.765216236419775;2.13125584928855;0.0
216;1.0;1.0;0.64;0.54;-0.07486370536598229;-0.1345693353574025;-0.0024153082066276504;-0.004042355865798042;78.19644213810622;75.52556149273587;1.7937398540935874;1.4082186684272529;0.0
217;0.9499473129610122;0.9784041827688114;0.62;0.535;-0.06662061636556844;-0.12840960414452746;0.008243089000413845;0.006159731212875053;71.37831225210962;70.85429180207606;-6.818129885996598;-4.6712696906598135;0.0
218;0.9653243847874716;0.9859058877017502;0.62;0.535;-0.0662283782888193;-0.12965107031612455;0.0003922380767491379;-0.0012414661715970945;72.31016329694377;71.51011272447326;0.9318510448341328;0.6558209223972113;0.0
219;0.9853190287972902;0.9940895658104116;0.62;0.54;-0.06612099173553701;-0.13102809917355418;0.00010738655328230984;-0.0013770288574296294;73.36141907109456;72.24020654055654;1.0512557741508033;0.7300938160832686;0.0
220;1.0;1.0;0.62;0.54;-0.07249721658261825;-0.13853723230074053;-0.006376224847081252;-0.007509133127186345;77.20734108110695;74.98729027181989;3.8459220100123863;2.7470837312633454;0.0
221;1.0;1.0;0.64;0.545;-0.07641412499187084;-0.1438469792547316;-0.003916908409252587;-0.0053097469539910855;79.65507514354097;76.82980057448555;2.447734062434023;1.8425103026656584;0.0
222;1.0;1.0;0.64;0.545;-0.08088151781104783;-0.14970992514197284;-0.004467392819176991;-0.005862945887241233;82.0191448546363;78.68354788518344;2.364069711095325;1.853747310697884;0.0
223;0.863505747126437;0.9399241146711635;0.62;0.54;-0.06147919268950095;-0.13320097298008096;0.019402325121546875;0.016508952161891882;62.6476081992978;65.28147839838148;-19.371536655338492;-13.402069486801945;0.0
224;0.8299808429118768;0.9251686340640808;0.6;0.535;-0.05506901789842128;-0.12865266494947547;0.006410174791079672;0.00454830803060549;58.85413937158079;62.480876074741715;-3.793468827717014;-2.800602323639765;0.0
