id;Time;High;Low;Close
2458;1996-07-16;366.88;366.88;366.88
2459;1996-07-17;366.84;366.84;366.84
2460;1996-07-18;366.31;366.31;366.31
2461;1996-07-19;368.9;368.9;368.9
2462;1996-07-22;363.18;363.18;363.18
2463;1996-07-23;361.38;361.38;361.38
2464;1996-07-24;352.77;352.77;352.77
2465;1996-07-25;358.13;358.13;358.13
2466;1996-07-26;358.75;358.75;358.75
2467;1996-07-29;360.67;360.67;360.67
2468;1996-07-30;360.87;360.87;360.87
2469;1996-07-31;365.12;365.12;365.12
2470;1996-08-01;366.85;366.85;366.85
2471;1996-08-02;374.94;374.94;374.94
2472;1996-08-05;375.93;375.93;375.93
2473;1996-08-06;373.36;373.36;373.36
2474;1996-08-07;377.44;377.44;377.44
2475;1996-08-08;378.72;378.72;378.72
2476;1996-08-09;379.46;379.46;379.46
2477;1996-08-12;380.11;380.11;380.11
2478;1996-08-13;381.37;381.37;381.37
2479;1996-08-14;382.52;382.52;382.52
2480;1996-08-15;382.67;382.67;382.67
2481;1996-08-16;381.79;381.79;381.79
2482;1996-08-19;379.25;379.25;379.25
2483;1996-08-20;383.0;383.0;383.0
2484;1996-08-21;382.77;382.77;382.77
2485;1996-08-22;388.08;388.08;388.08
2486;1996-08-23;386.98;386.98;386.98
2487;1996-08-26;387.19;387.19;387.19
2488;1996-08-27;390.86;390.86;390.86
2489;1996-08-28;390.96;390.96;390.96
2490;1996-08-29;390.98;390.98;390.98
2491;1996-08-30;388.18;388.18;388.18
2492;1996-09-02;388.18;388.18;388.18
2493;1996-09-03;385.03;385.03;385.03
2494;1996-09-04;387.9;387.9;387.9
2495;1996-09-05;389.89;389.89;389.89
2496;1996-09-06;392.05;392.05;392.05
2497;1996-09-09;395.59;395.59;395.59
2498;1996-09-10;395.59;395.59;395.59
2499;1996-09-11;394.74;394.74;394.74
2500;1996-09-12;397.41;397.41;397.41
2501;1996-09-13;403.31;403.31;403.31
2502;1996-09-16;402.66;402.66;402.66
2503;1996-09-17;399.84;399.84;399.84
2504;1996-09-18;397.07;397.07;397.07
2505;1996-09-19;396.81;396.81;396.81
2506;1996-09-20;398.97;398.97;398.97
2507;1996-09-23;393.96;393.96;393.96
2508;1996-09-24;399.34;399.34;399.34
2509;1996-09-25;399.04;399.04;399.04
2510;1996-09-26;402.66;402.66;402.66
2511;1996-09-27;403.95;403.95;403.95
2512;1996-09-30;404.58;404.58;404.58
2513;1996-10-01;410.08;410.08;410.08
2514;1996-10-02;408.2;408.2;408.2
2515;1996-10-03;409.88;409.88;409.88
2516;1996-10-04;414.39;414.39;414.39
2517;1996-10-07;416.78;416.78;416.78
2518;1996-10-08;421.07;421.07;421.07
2519;1996-10-09;417.16;417.16;417.16
2520;1996-10-10;418.3;418.3;418.3
2521;1996-10-11;417.12;417.12;417.12
2522;1996-10-14;418.28;418.28;418.28
2523;1996-10-15;422.62;422.62;422.62
2524;1996-10-16;419.51;419.51;419.51
2525;1996-10-17;420.97;420.97;420.97
2526;1996-10-18;425.96;425.96;425.96
2527;1996-10-21;426.96;426.96;426.96
2528;1996-10-22;426.12;426.12;426.12
2529;1996-10-23;421.67;421.67;421.67
2530;1996-10-24;421.87;421.87;421.87
2531;1996-10-25;425.08;425.08;425.08
2532;1996-10-28;427.89;427.89;427.89
2533;1996-10-29;418.53;418.53;418.53
2534;1996-10-30;414.34;414.34;414.34
2535;1996-10-31;416.46;416.46;416.46
2536;1996-11-01;417.85;417.85;417.85
2537;1996-11-04;418.31;418.31;418.31
2538;1996-11-05;421.95;421.95;421.95
2539;1996-11-06;423.2;423.2;423.2
2540;1996-11-07;421.61;421.61;421.61
2541;1996-11-08;420.62;420.62;420.62
2542;1996-11-11;420.28;420.28;420.28
2543;1996-11-12;423.36;423.36;423.36
2544;1996-11-13;424.41;424.41;424.41
2545;1996-11-14;433.29;433.29;433.29
2546;1996-11-15;439.84;439.84;439.84
2547;1996-11-18;437.84;437.84;437.84
2548;1996-11-19;437.09;437.09;437.09
2549;1996-11-20;435.82;435.82;435.82
2550;1996-11-21;439.5;439.5;439.5
2551;1996-11-22;446.95;446.95;446.95
2552;1996-11-25;449.97;449.97;449.97
2553;1996-11-26;445.31;445.31;445.31
2554;1996-11-27;439.84;439.84;439.84
2555;1996-11-28;447.11;447.11;447.11
2556;1996-11-29;451.84;451.84;451.84
2557;1996-12-02;452.36;452.36;452.36
2558;1996-12-03;460.99;460.99;460.99
2559;1996-12-04;456.14;456.14;456.14
2560;1996-12-05;460.13;460.13;460.13
2561;1996-12-06;452.78;452.78;452.78
2562;1996-12-09;458.29;458.29;458.29
2563;1996-12-10;460.13;460.13;460.13
2564;1996-12-11;451.1;451.1;451.1
2565;1996-12-12;451.64;451.64;451.64
2566;1996-12-13;447.11;447.11;447.11
2567;1996-12-16;452.17;452.17;452.17
2568;1996-12-17;444.45;444.45;444.45
2569;1996-12-18;452.87;452.87;452.87
2570;1996-12-19;456.82;456.82;456.82
2571;1996-12-20;459.88;459.88;459.88
2572;1996-12-23;459.36;459.36;459.36
2573;1996-12-27;463.58;463.58;463.58
2574;1996-12-30;469.29;469.29;469.29
2575;1997-01-02;462.85;462.85;462.85
2576;1997-01-03;469.2;469.2;469.2
2577;1997-01-07;470.14;470.14;470.14
2578;1997-01-08;480.14;480.14;480.14
2579;1997-01-09;480.88;480.88;480.88
2580;1997-01-10;473.84;473.84;473.84
2581;1997-01-13;483.03;483.03;483.03
2582;1997-01-14;488.21;488.21;488.21
2583;1997-01-15;486.16;486.16;486.16
2584;1997-01-16;487.55;487.55;487.55
2585;1997-01-17;488.36;488.36;488.36
2586;1997-01-20;487.3;487.3;487.3
2587;1997-01-21;488.58;488.58;488.58
2588;1997-01-22;494.59;494.59;494.59
2589;1997-01-23;501.28;501.28;501.28
2590;1997-01-24;496.11;496.11;496.11
2591;1997-01-27;494.1;494.1;494.1
2592;1997-01-28;500.22;500.22;500.22
2593;1997-01-29;492.37;492.37;492.37
2594;1997-01-30;495.12;495.12;495.12
2595;1997-01-31;502.59;502.59;502.59
2596;1997-02-03;499.61;499.61;499.61
2597;1997-02-04;497.96;497.96;497.96
2598;1997-02-05;503.18;503.18;503.18
2599;1997-02-06;503.23;503.23;503.23
2600;1997-02-07;508.71;508.71;508.71
2601;1997-02-10;515.82;515.82;515.82
2602;1997-02-11;514.84;514.84;514.84
2603;1997-02-12;515.18;515.18;515.18
2604;1997-02-13;517.02;517.02;517.02
2605;1997-02-14;515.58;515.58;515.58
2606;1997-02-17;522.46;522.46;522.46
2607;1997-02-18;522.32;522.32;522.32
2608;1997-02-19;524.9;524.9;524.9
2609;1997-02-20;520.57;520.57;520.57
2610;1997-02-21;520.9;520.9;520.9
2611;1997-02-24;520.02;520.02;520.02
2612;1997-02-25;525.43;525.43;525.43
2613;1997-02-26;524.67;524.67;524.67
2614;1997-02-27;525.2;525.2;525.2
2615;1997-02-28;520.77;520.77;520.77
2616;1997-03-03;523.05;523.05;523.05
2617;1997-03-04;532.35;532.35;532.35
2618;1997-03-05;536.27;536.27;536.27
2619;1997-03-06;543.93;543.93;543.93
2620;1997-03-07;550.46;550.46;550.46
2621;1997-03-10;555.23;555.23;555.23
2622;1997-03-11;551.71;551.71;551.71
2623;1997-03-12;547.0;547.0;547.0
2624;1997-03-13;546.24;546.24;546.24
2625;1997-03-14;547.7;547.7;547.7
2626;1997-03-17;540.07;540.07;540.07
2627;1997-03-18;529.97;529.97;529.97
2628;1997-03-19;526.82;526.82;526.82
2629;1997-03-20;517.54;517.54;517.54
2630;1997-03-21;525.28;525.28;525.28
2631;1997-03-24;525.46;525.46;525.46
2632;1997-03-25;536.04;536.04;536.04
2633;1997-03-26;541.34;541.34;541.34
2634;1997-03-27;546.02;546.02;546.02
2635;1997-04-01;521.44;521.44;521.44
2636;1997-04-02;514.44;514.44;514.44
2637;1997-04-03;517.17;517.17;517.17
2638;1997-04-04;516.59;516.59;516.59
2639;1997-04-07;530.46;530.46;530.46
2640;1997-04-08;525.62;525.62;525.62
2641;1997-04-09;520.96;520.96;520.96
2642;1997-04-10;524.4;524.4;524.4
2643;1997-04-11;520.36;520.36;520.36
2644;1997-04-14;513.89;513.89;513.89
2645;1997-04-15;527.61;527.61;527.61
2646;1997-04-16;526.57;526.57;526.57
2647;1997-04-17;525.81;525.81;525.81
2648;1997-04-18;523.31;523.31;523.31
2649;1997-04-21;518.21;518.21;518.21
2650;1997-04-22;514.1;514.1;514.1
2651;1997-04-23;510.77;510.77;510.77
2652;1997-04-24;518.37;518.37;518.37
2653;1997-04-25;512.4;512.4;512.4
2654;1997-04-28;505.51;505.51;505.51
2655;1997-04-29;516.12;516.12;516.12
2656;1997-04-30;520.43;520.43;520.43
2657;1997-05-02;530.29;530.29;530.29
2658;1997-05-05;540.95;540.95;540.95
2659;1997-05-06;540.77;540.77;540.77
2660;1997-05-07;541.68;541.68;541.68
2661;1997-05-09;542.5;542.5;542.5
2662;1997-05-12;543.86;543.86;543.86
2663;1997-05-13;544.57;544.57;544.57
2664;1997-05-14;547.02;547.02;547.02
2665;1997-05-15;553.06;553.06;553.06
2666;1997-05-16;551.44;551.44;551.44
2667;1997-05-20;553.69;553.69;553.69
2668;1997-05-21;561.73;561.73;561.73
2669;1997-05-22;561.87;561.87;561.87
2670;1997-05-23;570.13;570.13;570.13
2671;1997-05-26;573.03;573.03;573.03
2672;1997-05-27;566.37;566.37;566.37
2673;1997-05-28;563.63;563.63;563.63
2674;1997-05-29;557.95;557.95;557.95
2675;1997-05-30;553.95;553.95;553.95
2676;1997-06-02;561.96;561.96;561.96
2677;1997-06-03;565.37;565.37;565.37
2678;1997-06-04;565.79;565.79;565.79
2679;1997-06-05;564.86;564.86;564.86
2680;1997-06-06;571.31;571.31;571.31
2681;1997-06-09;571.07;571.07;571.07
2682;1997-06-10;575.11;575.11;575.11
2683;1997-06-11;575.21;575.21;575.21
2684;1997-06-12;576.79;576.79;576.79
2685;1997-06-13;582.61;582.61;582.61
2686;1997-06-16;584.89;584.89;584.89
2687;1997-06-17;581.61;581.61;581.61
2688;1997-06-18;577.68;577.68;577.68
2689;1997-06-19;584.61;584.61;584.61
2690;1997-06-23;589.85;589.85;589.85
2691;1997-06-24;593.16;593.16;593.16
2692;1997-06-25;602.12;602.12;602.12
2693;1997-06-26;603.77;603.77;603.77
2694;1997-06-27;606.47;606.47;606.47
2695;1997-06-30;601.84;601.84;601.84
2696;1997-07-01;605.5;605.5;605.5
2697;1997-07-02;607.57;607.57;607.57
2698;1997-07-03;616.8;616.8;616.8
2699;1997-07-04;622.09;622.09;622.09
2700;1997-07-07;632.33;632.33;632.33
2701;1997-07-08;634.65;634.65;634.65
2702;1997-07-09;639.8;639.8;639.8
2703;1997-07-10;631.29;631.29;631.29
2704;1997-07-11;640.81;640.81;640.81
2705;1997-07-14;647.95;647.95;647.95
2706;1997-07-15;644.38;644.38;644.38
2707;1997-07-16;655.67;655.67;655.67
2708;1997-07-17;648.87;648.87;648.87
2709;1997-07-18;637.72;637.72;637.72
2710;1997-07-21;631.4;631.4;631.4
2711;1997-07-22;645.24;645.24;645.24
2712;1997-07-23;651.28;651.28;651.28
2713;1997-07-24;649.84;649.84;649.84
2714;1997-07-25;652.32;652.32;652.32
2715;1997-07-28;650.49;650.49;650.49
2716;1997-07-29;645.68;645.68;645.68
2717;1997-07-30;657.14;657.14;657.14
2718;1997-07-31;647.06;647.06;647.06
2719;1997-08-01;647.52;647.52;647.52
2720;1997-08-04;644.0;644.0;644.0
2721;1997-08-05;649.37;649.37;649.37
2722;1997-08-06;663.03;663.03;663.03
2723;1997-08-07;673.14;673.14;673.14
2724;1997-08-08;661.15;661.15;661.15
2725;1997-08-11;664.35;664.35;664.35
2726;1997-08-12;667.66;667.66;667.66
2727;1997-08-13;651.16;651.16;651.16
2728;1997-08-14;651.1;651.1;651.1
2729;1997-08-15;638.31;638.31;638.31
2730;1997-08-18;635.19;635.19;635.19
2731;1997-08-19;647.99;647.99;647.99
2732;1997-08-20;653.14;653.14;653.14
2733;1997-08-21;645.14;645.14;645.14
2734;1997-08-22;629.15;629.15;629.15
2735;1997-08-25;624.66;624.66;624.66
2736;1997-08-26;619.4;619.4;619.4
2737;1997-08-27;619.01;619.01;619.01
2738;1997-08-28;611.82;611.82;611.82
2739;1997-08-29;605.17;605.17;605.17
2740;1997-09-01;615.42;615.42;615.42
2741;1997-09-02;630.3;630.3;630.3
2742;1997-09-03;622.6;622.6;622.6
2743;1997-09-04;621.51;621.51;621.51
2744;1997-09-05;616.61;616.61;616.61
2745;1997-09-08;627.35;627.35;627.35
2746;1997-09-09;633.0;633.0;633.0
2747;1997-09-10;628.3;628.3;628.3
2748;1997-09-11;617.42;617.42;617.42
2749;1997-09-12;613.33;613.33;613.33
2750;1997-09-15;622.41;622.41;622.41
2751;1997-09-16;625.89;625.89;625.89
2752;1997-09-17;628.99;628.99;628.99
2753;1997-09-18;635.98;635.98;635.98
2754;1997-09-19;628.53;628.53;628.53
