id;NormKurs5;NormKurs200;NumberRise200;MA50Norm;MA200Norm;MA50NormDiff;MA200NormDiff;RSI_9;RSI_14;RSI2_diff;RSI3_diff;RSI5_diff;RSI9_diff;RSI10_diff;RSI14_diff;RSI20_diff;RSI25_diff;Stoch_Sk1433;Stoch_Sd1433;Stoch_Sk1338;Stoch_Sd1338;Stoch_Sk533;Stoch_Sd533;Stoch_Sk2177;Stoch_Sd2177;Stoch_Sk211414;Stoch_Sd211414;Stoch_Sk31414;Stoch_Sd31414;MACD_12_26_9;MACDS_12_26_9;MACD_5_35_5;MACDS_5_35_5;MACD_12_26_9Diff;MACDS_12_26_9Diff;MACD_5_35_5Diff;MACDS_5_35_5Diff;MACD_12_26_9DiffDirChange;MACDS_12_26_9DiffDirChange;MACD_5_35_5DiffDirChange;MACDS_5_35_5DiffDirChange;week_of_year;day_of_year;day_of_month;day_week__0;day_week__1;day_week__2;day_week__3;day_week__4;month_year__1;month_year__2;month_year__3;month_year__4;month_year__5;month_year__6;month_year__7;month_year__8;month_year__9;month_year__10;month_year__11;month_year__12;week_month__1;week_month__2;week_month__3;week_month__4;week_month__5;week_month__6
206;0.0;0.79396717628706;0.535;0.017450934420364276;-0.045464510800139135;0.025134675529049695;0.02352259692881853;30.514040685977964;38.37102018980294;-33.07772952208178;-26.482179658574267;-21.43482520743964;-15.391563037792029;-14.300601756086536;-11.005387708041262;-8.01657530262348;-6.44345722434155;26.63112670035404;40.263450019931426;45.559550913557516;53.115400222108484;28.07009658642095;39.231754621190674;60.10052106292151;72.56552866940088;69.90505893051126;75.41415162609225;41.544638268844274;52.23643831413865;1.038644929350994;7.925184517766683;-5.916887551960826;7.625869896985751;-4.66960164714078;-1.7216348971039217;-14.199959310648865;-6.771378724473287;-0.13;0.0;-0.216;0.0;44;300;26;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
207;0.0;0.7758753688543307;0.53;0.02383999179233684;-0.03959411309689779;0.006389057371972564;0.0058703977032413465;27.93436406956001;36.24125974399415;-1.4123641472575579;-2.03768510700577;-2.6264894069796902;-2.5796766164179523;-2.495018041865439;-2.1297604458087918;-1.6764817395478246;-1.3972882575561485;16.4795599667414;28.21590194015988;42.24296764674762;47.5681935460884;17.445423003335417;28.420371690995683;50.13157586803626;68.4621774013028;64.4933053063795;75.32753712979029;39.33809804056629;51.25944928862846;-3.5092041666066507;5.638306780892017;-17.803586237332865;-0.8506154811204532;-4.547849095957645;-2.286877736874666;-11.886698685372039;-8.476485378106204;0.0;0.0;-0.13;0.0;44;301;27;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
208;0.0;0.7078666594779692;0.53;0.047805347204101914;-0.0167285391755945;0.023965355411765074;0.022865573921303287;20.577493464803947;29.592053871118118;-2.2828800016915256;-4.118993619087584;-6.389328956942082;-7.356870604756065;-7.287405398257288;-6.649205872876031;-5.531906402281834;-4.740385706958776;3.991095030296416;15.700593899130618;34.57546708537388;40.79266188189302;4.605941712095089;16.707153767283824;39.009209248851796;62.80506822209812;58.80909137606817;74.85604235358504;37.40591923981133;50.284665555177;-10.33091645356376;2.444462134000862;-36.44421233113508;-12.71514776445866;-6.8217122869571085;-3.1938446468911548;-18.64062609380221;-11.864532283338207;0.0;0.0;0.0;0.0;44;302;28;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
209;0.0;0.6969622255017845;0.525;0.05143521036833789;-0.01321010156110753;0.003629863164235976;0.003518437614486971;19.644278842033522;28.68335554468668;-0.18397791504845218;-0.3986310469125329;-0.7144009209856979;-0.933214622770425;-0.9425532482531551;-0.9086983264314377;-0.792144701770134;-0.695120531535693;6.410623225534555;8.96042607419079;26.011722033491935;34.27671892187116;7.564261171897807;9.871875295776109;28.191957621737462;55.608645246702984;53.37943803562043;73.6852438445939;35.81410270433138;49.017170763854715;-16.08672087834725;-1.2617744684687606;-49.347678069248786;-24.925991199388704;-5.755804424783491;-3.7062366024696227;-12.90346573811371;-12.210843434930045;0.0;0.0;0.0;0.0;44;303;29;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
210;0.02695772316372915;0.6995772581105651;0.525;0.050048438880685046;-0.01443887283985652;-0.0013867714876528436;-0.0012287712787489892;20.61557323095277;29.244485658668502;7.953512863158004;3.879374978082579;1.9708408300286386;0.9712943889192474;0.8538427721969519;0.5611301139818217;0.3549777111671446;0.2645110118775733;7.425893149914931;5.942537135248634;17.75122927249194;26.1128061304526;9.825653004436802;7.331951962809904;20.829829343360547;48.102937160403386;47.09980764540917;71.74046118844375;31.921000913825857;47.0914129347633;-20.28609491054658;-5.066638556884325;-56.116579310482166;-35.322853903086525;-4.19937403219933;-3.804864088415564;-6.7689012412333796;-10.39686270369782;0.0;0.0;0.0;0.0;44;304;30;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
211;0.6750735270195288;0.7502343995129857;0.53;0.031093529799410227;-0.032008838986977324;-0.01895490908127482;-0.017569966147120804;37.167076265468765;39.22091412608918;69.00882552158589;50.03864721825146;30.631866758648584;16.551503034515996;14.718114233136657;9.976428467420675;6.473286627986738;4.886020633124204;15.741099981381899;9.859205452277129;17.39973639966812;20.38756256855068;26.119845199973536;14.503253125436053;16.969740840073705;40.41347604771979;43.882854734466264;69.42872046804055;38.11170434656574;45.83332711339806;-20.888038235938893;-8.230918492695238;-50.78371501217589;-40.47647427278298;-0.6019433253923125;-3.1642799358109137;5.332864298306276;-5.153620369696455;0.0;0.0;1.0;0.0;45;307;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
212;1.0;0.7894606879736414;0.53;0.017059801496839742;-0.045185903187032264;-0.014033728302570485;-0.01317706420005494;46.82528067036098;45.61548338693503;11.982424158670128;16.544563819071307;14.594088655688708;9.658204404892217;8.810760999002156;6.394569260845856;4.384660350684335;3.4023516238865454;28.58635400549555;17.251115712264127;18.492616992301485;17.881194221487196;55.215869339731405;30.387122514713923;14.760109044156858;32.8561347184483;41.21080369660708;66.65574661766729;42.559296059437976;44.82838324825675;-19.21904374459723;-10.428543543075637;-39.86055313894258;-40.27116722816952;1.6689944913416639;-2.197625050380399;10.923161873233312;0.2053070446134626;1.0;0.0;0.6;1.0;45;308;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
213;1.0;0.8277166519474188;0.535;0.0038534388332416925;-0.05760013966884211;-0.01320636266359805;-0.012414236481809844;54.498978971788866;51.027016382952134;5.244000393726367;9.536599853671973;10.23241121367468;7.6736983014278835;7.118867590140859;5.411532996017101;3.858974804025493;3.0559861556603565;45.749312489169135;30.025588825348862;20.81050605352072;18.90095314849679;82.00375277249267;54.44648910406588;23.302498768171663;27.5992743906269;41.70150991554658;63.82966464766779;47.88239258353724;44.31444873543033;-15.836907242895677;-11.510216283039645;-25.783734771741138;-35.44202307602673;3.3821365017015523;-1.0816727399640076;14.07681836720144;4.8291441521427885;0.6;0.0;0.36;0.6;45;309;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
214;1.0;0.8715973966803563;0.54;-0.010534552807221691;-0.0713248284756798;-0.014387991640463383;-0.013724688806837686;61.6420125175107;56.38762718676338;2.6934151010242005;6.485797064527375;8.426745271451466;7.143033545721835;6.736705098087079;5.360610803811248;3.9755844700426053;3.2139620922942527;61.96758581345;45.434417436038224;30.650908567079107;23.318010537633786;96.44358329614545;77.88773513612318;33.36086169615215;25.20345808035774;41.7462187820942;61.06116589082402;49.849116765414685;44.07556183212365;-10.878293958167433;-11.383831818065202;-9.031984044767341;-26.638676732273602;4.958613284728244;0.12638446497444278;16.751750726973796;8.803346343753127;0.36;1.0;0.216;0.36;45;310;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
215;0.9635459543883199;0.8671732244460468;0.535;-0.008599644086356262;-0.06993356505909729;0.001934908720865429;0.0013912634165825083;60.56360276100673;55.725329740998305;-9.602778978769422;-4.894955358436519;-2.2919158704824696;-1.078409756503973;-0.9550635535727778;-0.662297445765077;-0.459895155437124;-0.3668390746635879;72.35265528808121;60.02318453023346;39.75569107186853;30.405701897489468;95.49865383993262;91.31532996952359;43.38191383075357;25.828130163486566;41.19556153980268;58.284172351210294;50.65222145639732;43.96027456122242;-7.08395355607945;-10.523856165668052;0.9354676915636446;-17.44729525766119;3.7943404020879825;0.85997565239715;9.967451736330986;9.191381474612413;0.216;0.6;0.13;0.216;45;311;6;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
