id;NormKurs5;NormKurs200;NumberRise200;MA50Norm;MA200Norm;MA50NormDiff;MA200NormDiff;RSI_9;RSI_14;RSI2_diff;RSI3_diff;RSI5_diff;RSI9_diff;RSI10_diff;RSI14_diff;RSI20_diff;RSI25_diff;Stoch_Sk1383;Stoch_Sd1383;Stoch_Sk533;Stoch_Sd533;Stoch_Sk2177;Stoch_Sd2177;Stoch_Sk211414;Stoch_Sd211414;Stoch_Sk31414;Stoch_Sd31414;MACD_12_26_9;MACDS_12_26_9;MACD_5_35_5;MACDS_5_35_5;MACD_12_26_9Diff;MACDS_12_26_9Diff;MACD_5_35_5Diff;MACDS_5_35_5Diff;MACD_12_26_9DiffDirChange;MACDS_12_26_9DiffDirChange;MACD_5_35_5DiffDirChange;MACDS_5_35_5DiffDirChange;week_of_year;day_of_year;day_of_month;day_week__0;day_week__1;day_week__2;day_week__3;day_week__4;month_year__1;month_year__2;month_year__3;month_year__4;month_year__5;month_year__6;month_year__7;month_year__8;month_year__9;month_year__10;month_year__11;month_year__12;week_month__1;week_month__2;week_month__3;week_month__4;week_month__5;week_month__6
35;0.014422389214709624;;;;;;;56.404689728781506;50.674921160100276;-39.93553127158145;-31.971716204220122;-21.93349261813058;-11.6366244323669;-10.092261228335474;-5.996628300647778;-3.1204520441237165;-1.991844767259387;80.88205284369543;86.41421329346728;68.47250444623883;68.47250444623883;86.88017555491511;86.88017555491511;;;;;25.630296764827563;23.844596421869745;58.68310366610535;63.29113034052148;-1.5075153074087666;0.4464250857394525;-6.912040011624185;;-1.0;0.0;0.0;0.0;8;52;21;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
36;0.0;;;;;;;31.77299788837295;34.64907057075231;-26.0835236269993;-29.806392217613197;-31.0308858150951;-24.631691840408557;-22.713442171160906;-16.025850589347968;-9.59816056181944;-6.5488628988367985;69.43777947109024;79.6741889235998;58.219177795805344;58.219177795805344;83.15604968334415;83.15604968334415;;;;;17.703548626375323;22.61638686277086;30.772125164969566;52.45146194867084;-7.92674813845224;-1.228209559098886;-27.910978501135787;-10.839668391850637;-0.6;-1.0;0.0;0.0;9;55;24;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
37;0.0;;;;;;;27.057105824791297;30.889423859043564;-2.308377852021726;-3.208123484915891;-4.367173642942529;-4.715892063581652;-4.5786488969699874;-3.7596467117087435;-2.570965029746521;-1.8733769282923944;58.377839017626066;69.5658904441372;38.04212508200157;38.04212508200157;77.88450595282613;77.88450595282613;;;;;8.973212043526473;19.887751898921984;4.556487494532803;36.48647046395816;-8.73033658284885;-2.728634963848876;-26.215637670436763;-15.964991484712677;-0.36;-0.6;0.0;0.0;9;56;25;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
38;0.09985327918732077;;;;;;;32.054385172168566;34.29601059869337;15.457837321416243;11.74675088438569;8.112968924018759;4.997279347377269;4.560734151680371;3.406586739649807;2.5149278241369366;2.080092211942194;51.7390785593671;59.851565682694435;21.436321625768894;21.436321625768894;71.75188328694266;71.75188328694266;;;;;3.0647889653000675;16.5231593121976;-8.434044973789014;21.51296531804244;-5.908423078226406;-3.3645925867243847;-12.990532468321817;-14.973505145915723;-0.216;-0.36;0.0;0.0;9;57;26;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
39;0.0;;;;;;;23.64918821654593;27.51203337459654;-11.237049219930373;-9.530786222613239;-8.954294816180337;-8.405196955622635;-8.133346334102757;-6.78397722409683;-4.8318834870217025;-3.622037606702577;43.13971949515313;51.085545690715406;17.204561734462473;17.204561734462473;64.98601963290555;64.98601963290555;73.88065340313528;73.88065340313528;73.88065340313528;73.88065340313528;-6.426253149724062;11.933276819813265;-33.2654192135883;3.253503807498859;-9.491042115024129;-4.5898824923843335;-24.83137423979929;-18.25946151054358;-0.13;-0.216;0.0;0.0;9;58;27;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
40;0.0;;;;;;;18.859182459101962;23.2216815766116;-4.0303200014372305;-4.030422173006186;-4.412799088147773;-4.790005757443968;-4.7525590916072815;-4.29035179798494;-3.309288219121985;-2.594413800665869;35.98110594022202;43.6199679982474;23.351909346075487;23.351909346075487;56.297822806590325;56.297822806590325;74.50306255881904;74.50306255881904;74.50306255881904;74.50306255881904;-17.9969983606436;5.947221783721892;-62.93673967543259;-18.809910686811623;-11.57074521091954;-5.986055036091374;-29.67132046184429;-22.063414494310482;0.0;-0.13;0.0;0.0;9;59;28;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
41;0.09085324113956869;;;;;;;22.271520271382048;25.645149630396435;10.120777650602067;7.534542315707577;5.244381024734443;3.412337812280086;3.14933203704339;2.423468053784834;1.8233025321439946;1.5207302579908735;25.33018945223435;34.81700496253648;24.958618310872428;24.958618310872428;46.48190690190529;46.48190690190529;74.51157390131038;74.51157390131038;74.51157390131038;74.51157390131038;-26.036445219789584;-0.44951161698040387;-77.5948428426043;-38.40488807207585;-8.039446859145983;-6.396733400702296;-14.658103167171703;-19.594977385264226;0.0;0.0;0.0;0.0;10;62;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
42;0.22708891690897662;;;;;;;27.36118643306672;29.23385566964407;16.365670416258908;11.891746138217734;8.016311301016636;5.089666161684672;4.685338477542814;3.588706039247633;2.6994917969049865;2.2546911354536263;17.120541246752495;26.143945546402932;27.980465831709065;27.980465831709065;37.61275502669597;37.61275502669597;73.81435448472841;73.81435448472841;73.81435448472841;73.81435448472841;-30.807558021459045;-6.521120897876132;-81.10095126559008;-52.63690913658059;-4.77111280166946;-6.0716092808957285;-3.5061084229857897;-14.232021064504742;0.0;0.0;0.0;0.0;10;63;3;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
43;0.6703314691943137;;;;;;;30.519354105516204;31.448546931660218;10.44745438714309;7.623699055823799;5.061182945380942;3.1581676724494834;2.901579978767135;2.2146912620161494;1.6663273683180826;1.3937745270741395;15.882161393134314;19.444297364040363;35.243529698431274;35.243529698431274;31.016804127765198;31.016804127765198;72.62785371482032;72.62785371482032;72.62785371482032;72.62785371482032;-33.42553184588451;-11.902003087477809;-79.12888376773685;-61.46756734696601;-2.6179738244254622;-5.380882189601676;1.9720674978532315;-8.830658210385415;0.0;0.0;1.0;0.0;10;64;4;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
44;0.4058252569960102;;;;;;;27.612133504316756;29.306776012054044;-14.31393998039454;-8.119090298881218;-4.5432289542965165;-2.907220601199448;-2.714581429824282;-2.1417709196061736;-1.5428407942362945;-1.187468470564955;18.07749538187212;17.02673267391962;44.56123769495657;44.56123769495657;26.632829139517895;26.632829139517895;70.59306807595459;70.59306807595459;70.59306807595459;70.59306807595459;-36.77174539099383;-16.875951548181014;-82.25797582894506;-68.39770350762569;-3.346213545109322;-4.973948460703205;-3.129092061208212;-6.930136160659686;0.0;0.0;-1.0;0.0;10;65;5;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
